X,Y,Z,SPEED,ANGLE_CAM,ANGLE_BEETLE,TIME,ACCELERATION,MAP_ANGLE
-29.6393,0.2369,-1036.0912,104,13.6829,42.0174,1.346235990524292,0.0,27.5496
-27.8127,-0.1161,-1036.748,105,14.2571,44.0443,1.3797414302825928,0.0,26.1759
-25.9713,-0.2834,-1037.4061,106,14.2225,45.5346,1.4397518634796143,0.0,24.8001
-24.2032,-0.296,-1038.1078,103,12.2097,48.1301,1.4692573547363281,0.0,20.2243
-22.4719,-0.159,-1038.8641,102,10.2341,50.2384,1.5187656879425049,0.0,16.1624
-20.7679,-0.2103,-1039.7203,103,7.152,47.152,1.5472710132598877,0.0,16.1704
-19.0728,-0.3261,-1040.6497,105,5.0505,45.0574,1.5807762145996094,0.0,16.2089
-17.4036,-0.2456,-1041.6005,104,4.1046,44.1066,1.6247844696044922,0.0,16.2278
-15.7577,-0.3829,-1042.6621,106,0.9418,40.9478,1.6737921237945557,0.0,16.2278
-14.1504,-0.4497,-1043.7618,105,-0.6317,37.5613,1.7053003311157227,0.0,18.0588
-12.585,-0.4272,-1044.9277,106,-2.9656,33.446,1.7503066062927246,0.0,19.8768
-11.0592,-0.4071,-1046.1376,105,-4.7135,29.8986,1.7808115482330322,0.0,21.6882
-9.5691,-0.4479,-1047.3883,105,-6.3083,26.4961,1.8298234939575195,0.0,23.4961
-8.0827,-0.5492,-1048.6483,105,-6.9174,21.5948,1.8748283386230469,0.0,28.1184
-6.6229,-0.5962,-1049.8837,104,-10.3,17.0219,1.9228367805480957,0.0,32.7386
-5.2204,-0.4692,-1051.0759,100,-16.338,12.2479,1.9688456058502197,0.0,37.3824
-3.8365,-0.4193,-1052.2581,99,-19.8813,7.4422,1.9998507499694824,0.0,42.0546
-2.442,-0.4716,-1053.443,99,-24.5336,2.8994,2.046358108520508,0.0,46.7465
-1.0425,-0.4887,-1054.6211,99,-25.5504,-1.5437,2.0773637294769287,0.0,51.4515
0.3624,-0.5653,-1055.7933,99,-25.6789,-5.9973,2.108368396759033,0.0,56.1554
1.7718,-0.5346,-1056.957,99,-25.4121,-10.4035,2.1398746967315674,0.0,60.8587
3.1718,-0.4596,-1058.1166,98,-25.1918,-15.1946,2.185882568359375,0.0,65.5616
4.5655,-0.3305,-1059.2653,98,-24.6853,-19.7591,2.2323906421661377,0.0,70.2637
5.9664,-0.3659,-1060.4091,98,-24.3447,-24.2115,2.2633960247039795,0.0,74.9814
7.3765,-0.5273,-1061.5471,98,-24.1109,-28.607,2.3104043006896973,0.0,79.6997
8.7928,-0.5858,-1062.6804,98,-25.5673,-33.0818,2.355912446975708,0.0,84.417
10.2071,-0.5299,-1063.8085,98,-26.8806,-37.7249,2.387418031692505,0.0,89.1475
11.6478,-0.3068,-1064.9197,98,-29.4318,-38.161,2.4339261054992676,0.0,90.5188
13.1133,-0.1402,-1066.0164,99,-29.047,-38.7002,2.4799349308013916,0.0,91.8922
14.6034,-0.0268,-1067.0968,100,-26.5035,-39.2129,2.511439800262451,0.0,93.2676
16.1182,0.0335,-1068.1605,100,-24.2971,-39.7235,2.5584475994110107,0.0,94.6451
17.6576,0.0406,-1069.2067,101,-22.908,-40.2226,2.5889534950256348,0.0,96.0248
19.2219,-0.0053,-1070.2347,101,-21.7616,-40.7201,2.6194584369659424,0.0,97.4065
20.8111,-0.1038,-1071.2441,102,-20.7696,-41.2132,2.6669681072235107,0.0,98.7905
22.4252,-0.2549,-1072.2341,103,-19.8314,-41.6992,2.712974786758423,0.0,100.1766
24.0642,-0.4587,-1073.204,103,-18.9221,-42.1781,2.7439804077148438,0.0,101.5649
25.7283,-0.6161,-1074.1473,104,-17.8584,-42.505,2.7899882793426514,0.0,102.9555
27.4295,-0.6961,-1075.0714,105,-16.8196,-42.8588,2.836996078491211,0.0,104.3483
29.1287,-0.5618,-1075.8705,102,-13.5602,-44.1261,2.868001699447632,0.0,108.9411
30.8687,-0.3983,-1076.6411,103,-12.3559,-47.4624,2.9145097732543945,0.0,113.5742
32.6504,-0.2958,-1077.3352,104,-9.7194,-49.4904,2.9450149536132812,0.0,118.2056
34.4879,-0.2988,-1077.9832,105,-7.7651,-47.7789,2.992025852203369,0.0,118.3557
36.3687,-0.4179,-1078.5693,107,-5.627,-45.6345,3.0385313034057617,0.0,118.3234
38.2762,-0.3906,-1079.0492,106,-2.4649,-42.4436,3.0660359859466553,0.0,118.3234
40.1896,-0.3906,-1079.4312,106,0.3023,-39.6856,3.110044002532959,0.0,118.3965
42.1119,-0.4552,-1079.7954,106,0.7695,-39.2062,3.139549493789673,0.0,118.476
43.9898,-0.2181,-1080.0339,102,4.0267,-35.8776,3.2020604610443115,0.0,118.639
45.771,0.0508,-1080.1514,97,7.3944,-32.5536,3.2220652103424072,0.0,118.7816
47.6564,0.2521,-1080.3695,103,4.2427,-35.6185,3.282074213027954,0.0,119.0187
49.5695,0.369,-1080.5948,104,3.9578,-35.951,3.3110787868499756,0.0,119.2332
51.4941,0.4339,-1080.824,105,3.5625,-36.3286,3.343585252761841,0.0,119.5396
53.4219,0.4772,-1081.0485,105,3.1012,-36.618,3.4085965156555176,0.0,119.9759
55.352,0.502,-1081.2675,105,2.9879,-36.8736,3.4376020431518555,0.0,120.4005
57.2835,0.5154,-1081.4796,105,2.7349,-37.1158,3.470107078552246,0.0,120.8474
59.2175,0.5194,-1081.6857,105,2.3905,-37.3445,3.518615484237671,0.0,121.2629
61.1258,0.5295,-1081.8585,104,2.9723,-36.8272,3.5481209754943848,0.0,121.6515
63.0559,0.5703,-1082.0513,105,2.1352,-37.6922,3.5951285362243652,0.0,121.9894
64.9727,0.6927,-1082.2341,104,1.9297,-37.8215,3.640636920928955,0.0,122.372
66.8871,0.8475,-1082.4093,104,1.8067,-37.9755,3.673142194747925,0.0,122.7475
68.8025,1.0295,-1082.5759,104,1.8297,-38.07,3.7171506881713867,0.0,123.0982
70.7043,1.2439,-1082.7385,103,1.8267,-38.1369,3.7496559619903564,0.0,123.2502
72.6063,1.4606,-1082.8419,103,3.4507,-36.4871,3.795664072036743,0.0,123.3755
74.4639,1.7189,-1082.9296,101,3.8422,-36.139,3.8291702270507812,0.0,123.4376
76.3154,2.01,-1083.0067,100,3.9951,-35.9448,3.860675811767578,0.0,123.5588
78.1911,2.3143,-1083.0815,102,3.6013,-36.2499,3.9206862449645996,0.0,123.9654
80.0777,2.5884,-1083.1519,102,3.2753,-36.587,3.9531924724578857,0.0,124.4527
81.9031,3.0189,-1083.167,99,4.6807,-35.255,3.984196901321411,0.0,124.7799
83.588,3.5136,-1083.0229,92,9.8908,-30.0566,4.030704975128174,0.0,124.943
85.2698,4.1179,-1082.9877,91,6.0758,-33.859,4.061710834503174,0.0,125.0606
87.0709,4.5552,-1083.0465,98,2.7982,-37.16,4.1087188720703125,0.0,125.2889
88.8577,5.0337,-1083.1086,97,2.5225,-37.4222,4.139725685119629,0.0,125.4306
90.6259,5.5194,-1083.1658,96,2.1496,-37.6001,4.185232400894165,0.0,125.7495
92.4144,5.9847,-1083.23,97,1.4286,-38.3903,4.232239723205566,0.0,126.3343
94.1507,6.5755,-1083.2646,94,1.8439,-37.994,4.263246059417725,0.0,126.8501
96.0171,6.7589,-1083.3254,101,0.3162,-39.4507,4.309754133224487,0.0,127.5852
97.8025,7.1968,-1083.3447,97,0.5429,-38.9058,4.356262683868408,0.0,128.2869
99.5933,7.4746,-1083.3964,97,-1.4224,-40.5144,4.403270483016968,0.0,128.8629
101.3686,7.8373,-1083.4348,96,-1.8357,-41.5836,4.4337756633758545,0.0,130.3428
103.1596,8.0454,-1083.4487,97,-2.1831,-41.6016,4.480283498764038,0.0,131.1564
104.9109,8.4037,-1083.427,95,-1.6281,-41.2902,4.511289834976196,0.0,132.001
106.6742,8.7538,-1083.3961,95,-2.2739,-41.9673,4.542295217514038,0.0,132.9708
108.4104,9.0738,-1083.3353,94,-2.3028,-41.9591,4.588803052902222,0.0,133.9644
110.1785,9.2723,-1083.2156,96,-1.8599,-41.5152,4.634810924530029,0.0,135.3899
111.9648,9.4339,-1083.0504,97,-1.7467,-41.2382,4.66581654548645,0.0,136.5207
113.7437,9.5574,-1082.8177,97,-1.0967,-40.6336,4.712324619293213,0.0,138.0848
115.4941,9.7378,-1082.5361,96,-0.256,-40.0531,4.744830369949341,0.0,139.1929
117.2193,9.9931,-1082.1992,95,1.3006,-38.5687,4.7898383140563965,0.0,139.6193
118.8769,10.3736,-1081.7881,92,4.0215,-35.9153,4.836846351623535,0.0,139.8449
120.5196,10.6352,-1081.3247,92,5.4653,-34.4027,4.867351293563843,0.0,140.1557
122.1859,10.8593,-1080.7963,95,6.9344,-32.9468,4.91435980796814,0.0,140.5424
123.8782,10.9948,-1080.271,96,5.6268,-33.7128,4.961368560791016,0.0,140.9568
125.569,11.1429,-1079.7445,96,4.1809,-34.9455,4.994874715805054,0.0,142.2409
127.2611,11.4072,-1079.209,96,0.6452,-35.2551,5.030879974365234,0.0,142.8169
128.9534,11.6147,-1078.6517,96,-2.6215,-35.7432,5.077388286590576,0.0,143.9689
130.6463,11.769,-1078.0676,97,-5.2597,-36.2939,5.112394332885742,0.0,145.33
132.3395,11.8703,-1077.4561,97,-6.7816,-36.8333,5.157902717590332,0.0,146.6931
134.0325,11.9184,-1076.8164,98,-7.2553,-37.3611,5.187907695770264,0.0,148.0582
135.7251,11.9135,-1076.1484,99,-7.8358,-37.8883,5.221913814544678,0.0,149.4252
137.4167,11.856,-1075.4518,99,-7.9452,-38.4113,5.264921426773071,0.0,150.7943
139.107,11.7458,-1074.7258,100,-7.4567,-38.9227,5.299927473068237,0.0,152.1654
140.7955,11.5831,-1073.9706,100,-6.7342,-39.4398,5.343935251235962,0.0,153.5386
142.4817,11.3678,-1073.1852,101,-5.8577,-39.9386,5.3904430866241455,0.0,154.9138
144.1606,11.0999,-1072.3801,101,-5.2146,-40.0949,5.423949718475342,0.0,155.7131
145.8272,10.7795,-1071.5664,100,-4.8085,-39.9125,5.471957445144653,0.0,155.9363
147.4794,10.4064,-1070.7487,100,-4.5003,-39.2512,5.50346302986145,0.0,155.5836
149.1173,9.9808,-1069.9266,99,-4.181,-38.003,5.5489723682403564,0.0,154.6549
150.7304,9.9403,-1069.0913,98,-3.604,-35.9149,5.5954790115356445,0.0,153.2912
152.3467,9.8441,-1068.2694,98,-4.0524,-34.9916,5.624484300613403,0.0,151.9458
153.9465,9.8249,-1067.4314,98,-3.3814,-29.7545,5.67399263381958,0.0,147.4005
155.5413,9.8041,-1066.5579,98,-2.3155,-23.9677,5.703998327255249,0.0,142.6793
157.1285,9.7383,-1065.6582,99,-1.4813,-18.4221,5.749505996704102,0.0,137.9678
158.708,9.5467,-1064.7378,99,-0.798,-13.029,5.7810118198394775,0.0,133.2584
160.2721,9.2961,-1063.7971,99,0.0613,-10.4302,5.82952094078064,0.0,131.4541
161.8216,9.0605,-1062.8363,99,1.5091,-7.8476,5.875027894973755,0.0,129.6502
163.357,8.7784,-1061.8579,99,3.6708,-5.34,5.905033588409424,0.0,127.8466
164.8785,8.4431,-1060.8611,98,5.8557,-2.813,5.952041864395142,0.0,126.0432
166.3805,8.1221,-1059.8376,98,7.7083,0.03,5.9840474128723145,0.0,124.2399
167.9134,7.8563,-1058.8625,98,7.4888,0.0245,6.031055450439453,0.0,122.4367
169.4711,7.5966,-1057.9375,98,7.2206,0.0714,6.077063322067261,0.0,120.6336
171.062,7.4188,-1057.0592,98,6.955,0.0709,6.123570919036865,0.0,118.8305
172.6792,7.3158,-1056.2294,98,6.5179,0.1366,6.154577016830444,0.0,117.0273
174.3199,7.3154,-1055.4629,98,5.8444,-0.184,6.201085329055786,0.0,115.2242
175.9616,7.3913,-1054.7451,97,5.7408,0.195,6.23209023475647,0.0,113.4211
177.6411,7.5656,-1054.0729,98,5.5659,0.1964,6.278098821640015,0.0,111.6179
179.3349,7.7402,-1053.4467,98,4.6609,0.4754,6.310104846954346,0.0,109.8148
181.0559,7.8647,-1052.8798,98,3.9011,0.2199,6.35561203956604,0.0,108.0115
182.7988,7.9586,-1052.3685,98,3.3307,0.1391,6.387117624282837,0.0,106.2082
184.5527,7.9898,-1051.9095,98,4.6873,0.2605,6.433626890182495,0.0,104.4048
186.3223,8.0255,-1051.5093,98,4.9218,0.1439,6.464131116867065,0.0,102.6014
188.083,8.1311,-1051.1609,97,6.5767,0.3948,6.511139631271362,0.0,100.798
189.7867,8.4848,-1050.8615,94,8.6369,0.9736,6.557146787643433,0.0,98.9945
191.5186,8.8796,-1050.6168,95,9.956,0.8491,6.588153123855591,0.0,97.191
193.2522,9.1754,-1050.4319,94,9.8522,0.7016,6.63516092300415,0.0,95.3874
195.0197,9.4801,-1050.3199,96,7.9289,0.0403,6.665666580200195,0.0,93.5836
196.7971,9.4684,-1050.2637,96,6.2449,0.0336,6.697171688079834,0.0,91.7797
198.5524,9.8476,-1050.2405,95,5.2421,0.7813,6.743679761886597,0.0,89.9757
200.3146,10.0908,-1050.2513,95,4.2155,0.899,6.790188312530518,0.0,88.7477
202.0921,10.175,-1050.3463,96,1.5428,-0.002,6.836696147918701,0.0,86.9436
203.8332,10.3753,-1050.4747,95,0.2795,0.3247,6.867701530456543,0.0,85.4571
205.5831,10.6256,-1050.6132,95,-0.2381,-0.1747,6.914209365844727,0.0,85.6516
207.2898,11.0109,-1050.7407,93,-0.3026,-0.1849,6.945215463638306,0.0,85.9103
209.0398,11.1812,-1050.8553,95,-0.1875,-0.0079,6.991723299026489,0.0,86.2606
210.7984,11.3776,-1050.9497,95,-0.3637,0.0016,7.022228956222534,0.0,86.927
212.5571,11.5877,-1051.0353,95,-3.2345,-2.9126,7.079738616943359,0.0,90.127
214.313,11.8082,-1051.11,95,-5.7456,-7.305,7.108744144439697,0.0,94.8688
216.0659,11.8232,-1051.1736,95,-11.5315,-11.6902,7.143250942230225,0.0,99.6124
217.8252,11.8937,-1051.236,95,-21.0625,-16.3887,7.187758207321167,0.0,104.358
219.5857,11.9895,-1051.2921,95,-26.7145,-20.9324,7.2342658042907715,0.0,109.1055
221.346,11.9801,-1051.3405,95,-30.7358,-25.4303,7.26877236366272,0.0,113.8573
223.1075,11.9439,-1051.3822,95,-30.059,-29.965,7.3152806758880615,0.0,118.6074
224.8692,11.8721,-1051.4165,95,-29.5553,-34.475,7.344784736633301,0.0,123.3595
226.6309,11.7981,-1051.4437,95,-29.2215,-38.9966,7.389793157577515,0.0,128.1114
228.3923,11.4189,-1051.4644,95,-28.9723,-43.5346,7.4383015632629395,0.0,132.8636
230.1733,11.2078,-1051.4623,96,-28.2341,-47.5541,7.469806671142578,0.0,137.6208
231.9443,11.4102,-1051.4436,96,-28.3807,-48.8009,7.51831579208374,0.0,139.4051
233.7262,11.5768,-1051.3859,97,-34.1378,-49.3394,7.565323829650879,0.0,141.1953
235.5207,11.6911,-1051.2872,97,-39.237,-49.8453,7.594829082489014,0.0,142.9914
237.3271,11.7524,-1051.1464,98,-51.5164,-50.3342,7.6428375244140625,0.0,144.7934
239.1445,11.7607,-1050.9622,99,-55.6031,-50.8138,7.672842264175415,0.0,146.6013
240.972,11.7158,-1050.7339,100,-59.0129,-51.2952,7.720351219177246,0.0,148.4152
242.8085,11.6184,-1050.4603,101,-58.1764,-51.7633,7.751356840133667,0.0,150.2352
244.6531,11.4683,-1050.1404,101,-57.1104,-52.2211,7.782861232757568,0.0,152.0613
246.5046,11.2657,-1049.7733,102,-55.6721,-52.6799,7.828870534896851,0.0,153.8935
248.3619,11.0105,-1049.358,103,-54.0144,-53.1281,7.873878479003906,0.0,155.7319
250.2237,10.7027,-1048.8937,104,-52.3252,-53.5718,7.923886775970459,0.0,157.5765
252.0909,10.6626,-1048.3896,105,-50.9882,-54.3207,7.968894004821777,0.0,159.4273
253.9681,10.5515,-1047.8286,106,-49.5307,-54.6448,8.000399827957153,0.0,161.2844
255.8148,10.4365,-1047.2411,105,-49.0113,-58.253,8.045907497406006,0.0,165.9014
257.6284,10.2619,-1046.5509,105,-46.2378,-59.6944,8.076913118362427,0.0,170.5293
259.4003,10.0403,-1045.757,105,-43.5549,-61.0199,8.107920169830322,0.0,175.155
261.1227,9.7846,-1044.8589,105,-41.2811,-62.2425,8.169429540634155,0.0,179.7802
262.7872,9.4534,-1043.8607,105,-38.1217,-63.4543,8.185432434082031,0.0,184.4052
264.3846,9.1367,-1042.7623,105,-35.3323,-64.5196,8.231940031051636,0.0,189.0327
265.9053,8.8485,-1041.5669,105,-32.5148,-65.4917,8.278949737548828,0.0,193.6625
267.3385,8.4314,-1040.2738,104,-29.7561,-66.2378,8.309453964233398,0.0,198.2953
268.6772,7.9901,-1038.8894,104,-27.6544,-66.94,8.35596227645874,0.0,202.9018
269.9176,7.5356,-1037.4159,104,-25.9783,-65.2302,8.386966943740845,0.0,205.1392
271.0592,7.185,-1035.8632,104,-25.5224,-63.8146,8.43297529220581,0.0,207.4905
272.1054,7.0694,-1034.2375,105,-23.7528,-62.8934,8.464481592178345,0.0,210.1298
273.0469,6.9599,-1032.5527,104,-22.3291,-61.6972,8.510489225387573,0.0,212.4993
273.8967,6.9285,-1030.8195,104,-21.3323,-60.6066,8.542495489120483,0.0,214.4895
274.6608,6.9831,-1029.0524,104,-20.8946,-60.2084,8.588502645492554,0.0,216.8237
275.3177,6.8154,-1027.2323,105,-18.9122,-58.4542,8.63501238822937,0.0,218.6089
275.8763,6.6102,-1025.3699,105,-16.8929,-56.5573,8.681519031524658,0.0,219.8627
276.3416,6.3497,-1023.47,106,-14.836,-54.5772,8.728027582168579,0.0,220.8159
276.7232,5.9864,-1021.5422,106,-12.802,-52.5019,8.759032726287842,0.0,221.3054
277.0308,5.9552,-1019.5901,107,-11.4697,-51.1644,8.790039539337158,0.0,222.2092
277.2572,5.6755,-1017.6284,107,-10.467,-49.8998,8.836545705795288,0.0,223.3154
277.401,5.6355,-1015.647,108,-9.8159,-49.2686,8.883554697036743,0.0,225.1194
277.465,5.631,-1013.6489,108,-8.6661,-48.1163,8.913559675216675,0.0,226.281
277.4582,5.6001,-1011.645,108,-8.2065,-47.6342,8.961068630218506,0.0,227.8279
277.3918,5.5198,-1009.6479,108,-8.9401,-48.0927,9.007075786590576,0.0,229.9989
277.2459,5.328,-1007.6431,109,-8.5579,-47.3881,9.038081407546997,0.0,231.548
277.023,5.2524,-1005.6344,109,-7.4118,-46.9568,9.068587064743042,0.0,233.2898
276.739,5.2956,-1003.6343,109,-7.1203,-46.6999,9.115594625473022,0.0,234.7807
276.3708,5.3748,-1001.6584,109,-5.6042,-45.2641,9.162102699279785,0.0,235.8212
275.9499,5.5104,-999.7244,107,-4.6198,-44.2446,9.190108299255371,0.0,236.5219
275.4654,5.8139,-997.8282,106,-3.5478,-43.186,9.233116149902344,0.0,237.5208
274.9071,6.1031,-995.9605,106,-3.5963,-42.672,9.281123876571655,0.0,239.314
274.2765,6.3519,-994.1223,105,-3.7992,-42.2151,9.31062912940979,0.0,241.1486
273.6036,6.5483,-992.2812,106,-9.5525,-42.4295,9.358637571334839,0.0,242.5063
272.8974,6.6915,-990.4402,107,-12.4374,-42.8792,9.390643119812012,0.0,243.866
272.158,6.7818,-988.6,107,-15.3143,-43.3361,9.425649404525757,0.0,245.2276
271.3848,6.8189,-986.761,108,-19.4583,-43.788,9.484158992767334,0.0,246.5911
270.5776,6.8029,-984.9241,109,-21.0759,-44.2346,9.515164613723755,0.0,247.9566
269.736,6.7343,-983.0898,109,-23.4203,-44.6757,9.564172983169556,0.0,249.324
268.8594,6.6131,-981.2589,110,-24.5506,-45.1108,9.593678712844849,0.0,250.6935
267.9475,6.4393,-979.4318,111,-25.312,-45.5413,9.626184940338135,0.0,252.065
266.9999,6.2129,-977.6093,111,-26.019,-45.9659,9.68919563293457,0.0,253.4385
266.0162,5.9338,-975.7922,112,-25.5494,-46.3868,9.720200300216675,0.0,254.8141
264.9962,5.6022,-973.9811,113,-24.7304,-46.8011,9.751206159591675,0.0,256.1918
263.9393,5.218,-972.1769,113,-23.7947,-47.211,9.797213554382324,0.0,257.5717
262.8453,4.7812,-970.3804,114,-22.8478,-47.6157,9.84272313117981,0.0,258.9536
261.714,4.2918,-968.5923,115,-21.8631,-48.015,9.875728607177734,0.0,260.3378
260.5597,3.7498,-966.8154,115,-21.1794,-48.1393,9.921735763549805,0.0,261.1459
259.3986,3.1552,-965.0521,114,-20.8198,-48.0117,9.952741861343384,0.0,261.3781
258.2372,2.508,-963.3037,114,-20.5914,-47.4396,10.01475214958191,0.0,261.0342
257.0756,1.8083,-961.5701,113,-20.363,-46.2916,10.045758485794067,0.0,260.1144
255.9231,1.6418,-959.9464,108,-18.8194,-43.3823,10.076763391494751,0.0,258.749
254.7504,1.5729,-958.3068,109,-18.6126,-41.8352,10.107769250869751,0.0,257.4087
253.5636,1.5994,-956.6382,111,-18.8476,-37.4469,10.169778823852539,0.0,252.8701
252.228,1.5792,-955.8391,84,4.7502,-9.22,10.200786113739014,0.0,248.3269
250.7295,1.3998,-955.5361,83,24.188,14.7714,10.231790781021118,0.0,243.7976
249.5401,1.3206,-953.9598,107,-17.3447,-22.2149,10.277797937393188,0.0,239.2513
248.3235,1.2205,-952.5439,101,-13.7094,-16.7764,10.32430648803711,0.0,237.4481
246.9784,1.1721,-951.4048,95,-4.6392,-5.9036,10.35531210899353,0.0,235.645
245.7242,1.2509,-950.2781,91,-6.314,-6.3144,10.386817693710327,0.0,234.3808
244.507,1.4398,-948.9344,98,-12.2102,-12.2106,10.434326648712158,0.0,234.3808
243.2729,1.8717,-947.7117,94,-9.1131,-9.1135,10.463831186294556,0.0,234.3808
242.0434,1.8339,-946.3414,100,-12.4806,-12.4809,10.494836330413818,0.0,234.3808
240.7778,1.9369,-945.1105,96,-8.5837,-8.5841,10.541344404220581,0.0,234.3808
239.4947,2.0609,-943.8239,98,-9.46,-9.4604,10.603354930877686,0.0,234.3808
238.1891,2.0407,-942.5698,98,-8.2258,-8.2262,10.634360551834106,0.0,234.3808
236.8964,1.8828,-941.2836,99,-9.0618,-9.1794,10.665365934371948,0.0,234.3238
235.588,1.7536,-940.016,99,-7.8363,-8.1087,10.69637131690979,0.0,234.0141
234.2495,1.7331,-938.7833,99,-4.8793,-5.4532,10.758382081985474,0.0,232.8103
232.8766,2.0139,-937.7542,93,3.3795,2.1361,10.80539059638977,0.0,231.0066
231.5444,2.5023,-936.7972,89,5.7409,5.1075,10.83639645576477,0.0,229.2032
230.2551,3.1343,-935.8177,88,5.0078,4.6505,10.867401599884033,0.0,228.1247
228.9939,3.6415,-934.6527,93,0.3563,0.1012,10.91340970993042,0.0,227.1696
227.7399,4.1138,-933.4672,93,0.5485,0.0354,10.945415735244751,0.0,226.5725
226.4917,4.5349,-932.2631,94,1.9267,0.032,10.991424083709717,0.0,225.9965
225.253,4.9038,-931.0342,94,2.3777,0.3869,11.033430576324463,0.0,224.8445
224.0225,5.2199,-929.7791,95,4.5649,0.8183,11.077438592910767,0.0,223.6129
222.8068,5.483,-928.5048,95,5.9048,1.2695,11.109943389892578,0.0,222.3808
221.6096,5.6929,-927.2156,95,7.9579,1.7342,11.15695333480835,0.0,221.1483
220.4307,5.8498,-925.912,95,10.1037,2.2094,11.203960418701172,0.0,219.9153
219.2703,5.9536,-924.5946,95,11.2925,2.693,11.24996829032898,0.0,218.682
218.128,6.0043,-923.2635,95,12.8245,3.185,11.283974885940552,0.0,217.4482
217.0039,6.002,-921.9191,95,13.7316,3.6857,11.311480522155762,0.0,216.214
215.8978,5.947,-920.5616,95,14.8901,4.1942,11.358488321304321,0.0,214.9794
214.8096,5.8395,-919.1913,95,15.5738,4.7118,11.406996488571167,0.0,213.7443
213.7391,5.6793,-917.8085,95,16.0473,5.2362,11.437501430511475,0.0,212.5088
212.6862,5.4666,-916.4134,95,16.6992,5.7691,11.471506595611572,0.0,211.2728
211.6507,5.2013,-915.0062,95,18.7865,6.3114,11.515014171600342,0.0,210.0364
210.6326,4.8834,-913.5871,95,19.935,6.8573,11.561522722244263,0.0,208.7996
209.6316,4.5129,-912.1561,95,21.1398,7.4109,11.592028379440308,0.0,207.5623
208.6477,4.0898,-910.7137,95,23.0674,7.9737,11.639536142349243,0.0,206.3245
207.6807,3.6141,-909.2598,95,23.9506,8.5422,11.671541929244995,0.0,205.0862
206.7306,3.0858,-907.7947,95,24.6293,9.1156,11.703548192977905,0.0,203.8474
205.7971,2.505,-906.3183,95,25.5967,9.6962,11.751056432723999,0.0,202.6082
204.8802,1.8715,-904.8308,95,26.0256,10.2816,11.780561685562134,0.0,201.3685
